Date,Adj Close,Close,High,Low,Open,Volume
,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
2022-12-01,34395.01171875,34395.01171875,34595.51171875,34129.3515625,34533.58984375,348720000
2022-12-02,34429.87890625,34429.87890625,34483.2109375,34039.73046875,34265.44921875,290580000
2022-12-05,33947.1015625,33947.1015625,34335.73046875,33846.80859375,34335.73046875,312960000
2022-12-06,33596.33984375,33596.33984375,34006.62890625,33418.58984375,33936.87109375,306220000
2022-12-07,33597.921875,33597.921875,33774.26953125,33503.671875,33556.3984375,359980000
2022-12-08,33781.48046875,33781.48046875,33899.171875,33642.4609375,33695.96875,271830000
2022-12-09,33476.4609375,33476.4609375,33844.62890625,33462.6484375,33746.7109375,287630000
2022-12-12,34005.0390625,34005.0390625,34005.0390625,33519.5,33519.5,313440000
2022-12-13,34108.640625,34108.640625,34712.28125,33890.87890625,34268.44140625,442650000
2022-12-14,33966.3515625,33966.3515625,34395.6484375,33704.171875,34086.0703125,339090000
2022-12-15,33202.21875,33202.21875,33773.0,33016.16015625,33773.0,394290000
2022-12-16,32920.4609375,32920.4609375,33166.4609375,32654.58984375,33166.4609375,756310000
2022-12-19,32757.5390625,32757.5390625,33038.94140625,32581.970703125,32921.44921875,326430000
2022-12-20,32849.73828125,32849.73828125,32992.23046875,32649.44921875,32735.240234375,303970000
2022-12-21,33376.48046875,33376.48046875,33437.83984375,33028.08984375,33028.08984375,328020000
2022-12-22,33027.48828125,33027.48828125,33233.3515625,32573.4296875,33233.3515625,340640000
2022-12-23,33203.9296875,33203.9296875,33226.140625,32814.01953125,32961.05859375,221050000
2022-12-27,33241.55859375,33241.55859375,33387.71875,33069.578125,33224.23046875,246010000
2022-12-28,32875.7109375,32875.7109375,33379.55078125,32869.1484375,33264.76171875,252260000
2022-12-29,33220.80078125,33220.80078125,33293.421875,33020.3515625,33021.4296875,243060000
2022-12-30,33147.25,33147.25,33152.55078125,32847.8203125,33121.609375,295500000
2023-01-03,33136.37109375,33136.37109375,33387.51953125,32850.5703125,33148.8984375,355930000
2023-01-04,33269.76953125,33269.76953125,33409.1015625,33033.48046875,33165.140625,379400000
2023-01-05,32930.078125,32930.078125,33191.71875,32812.328125,33191.71875,337920000
2023-01-06,33630.609375,33630.609375,33710.66015625,32997.390625,33055.30078125,360740000
2023-01-09,33517.6484375,33517.6484375,33935.109375,33487.66015625,33664.390625,327840000
2023-01-10,33704.1015625,33704.1015625,33726.5390625,33421.80078125,33516.4296875,268260000
2023-01-11,33973.01171875,33973.01171875,33974.69140625,33711.0390625,33754.03125,301650000
